,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Code
0,3.1064417,1.8417463,1.4717314,1.1758723,-1.6680629,-1.4791982,-0.3990836,-1.729137,0.53694427,0.09354847,-0.5256215,-0.5289557,0.1920866,-0.2849584,0.0025061842,-0.47060412,a39a
1,0.6544477,-0.25157896,0.93754476,1.8177078,-0.511268,0.89033824,0.29654154,-1.0035541,0.6310945,-0.60119456,0.5667693,0.5701608,0.2316914,0.3541469,-0.1360027,-0.17158934,1f64
2,-6.18957,-2.0184522,-1.2005895,1.8368928,-0.2864037,0.6333533,0.95806485,0.40884957,-0.69746786,-0.025899336,0.01587215,-0.021477027,0.18760833,0.2862629,-0.3423441,0.1530084,1a02
3,2.9982955,-0.3463821,-2.0750895,-1.943368,0.7043111,-0.8087027,-0.16869004,-1.6652336,-0.58654815,-0.5484581,-0.8550405,0.36672994,-0.27790964,-0.12713875,0.4906494,-0.061825342,0b2f
4,-6.066229,1.619178,0.018200386,0.7020626,-0.8359536,0.055822466,0.14437789,-0.9071006,-1.3593273,0.41981813,0.15071167,0.23990127,-0.23485488,0.15470906,0.271618,0.022399303,1804
5,-6.5383024,-0.255378,0.0072445087,1.8923402,0.48562163,-0.2763957,-1.1207469,0.12641066,-0.4226653,0.74762386,0.5043432,-0.22730327,0.31287017,-0.1989556,0.67229986,0.5893599,2cc6
6,-2.0374262,-1.6828219,1.8594035,0.16951747,-0.64994496,-0.9916389,0.29676235,0.5162227,0.5291982,-0.050330736,-0.8381016,0.33074123,0.36435038,-0.2533977,-0.42775184,-0.20847939,2d3a
7,-5.3336744,1.7509427,-1.9187919,-2.7517903,-0.0804639,0.9832343,0.397305,0.263313,0.834899,0.43625602,-0.6098047,-0.28887144,-0.08633248,0.46522474,-0.23953165,-0.050082967,2cb2
8,-0.9051013,-4.282963,-2.9676287,0.22022486,0.36811742,1.3647184,0.098974854,-0.49319416,0.39930052,-0.804985,0.0692338,-0.3199241,0.12654154,0.33441672,-0.14051189,0.089770675,1a16
9,2.2673423,0.9862964,3.5852182,2.6076193,0.5889865,0.54469204,0.94998276,0.64209586,0.30907103,-0.8538582,0.6858627,0.37052733,1.1580234,-0.04195788,0.7865425,-0.10327198,1faa
10,1.1942191,-0.50230354,-0.7763433,-3.8871198,1.475778,-0.27898747,0.14796755,-1.013032,-0.4382931,-0.16379382,-0.64845526,0.82355094,-1.0056719,-0.15778738,0.4050125,-0.0064075827,0b08
11,0.23573294,1.2537364,0.851314,2.0032136,0.5267397,-1.5984163,0.05126886,-0.865412,0.65104777,-0.7312298,0.39126852,0.441999,0.051008638,0.2168098,-0.16367963,-0.014088864,1810
12,-6.731048,2.3906846,-0.8578255,2.315971,-1.3409616,1.4957999,0.045016978,-1.006663,-0.061862353,-0.61730593,-0.61202574,0.51190096,-0.34587494,-1.3326206,-0.110077314,0.77666533,119d
13,-2.5070403,-0.6540351,1.6319906,-0.038254224,0.9354567,0.07925954,0.32694,-0.16055858,0.46713546,-0.41176814,-0.06630675,0.44385663,0.011288533,0.25792772,-0.23584661,-0.4839053,1f70
14,-4.0134377,-1.7920327,1.3280308,1.5694841,-0.3336382,-0.6789565,-0.21178159,-0.11163478,-0.33917016,-0.20702209,-1.0736763,0.8452577,0.52039665,-0.21888709,-0.4176142,-0.072727025,2c79
15,-2.9027743,-2.0243967,-0.73356426,-2.2541332,0.10209081,0.4125411,0.19851896,0.8533672,0.09999633,-0.33787236,0.43532425,-0.26801997,-0.8340868,-0.24896717,-0.08074566,0.3270774,2c4c
16,13.727091,3.3370562,2.8561552,3.3401184,-0.8789255,2.4555905,3.5880654,0.5746721,-1.1074506,0.24253267,-0.23267472,-0.455956,0.79862547,-0.2763114,-0.6760876,1.6922884,2dd4
17,3.2866726,-2.7863848,-2.8340452,0.4335898,-2.4263263,0.6131172,-1.592318,-1.4745095,0.014863081,-0.087285385,-0.2783243,-0.7861395,0.9150385,-1.1838269,0.11521116,-0.25505036,a38e
18,-4.506322,-0.63892156,-0.08356674,-0.37210348,-0.8659748,-0.08546288,1.4116942,1.6802785,0.88719887,0.0056466833,-0.8359382,0.6446976,-0.48679766,0.34040004,0.33171335,-0.11766969,0e46
19,-0.96351844,-1.4811038,1.9892846,-0.79078174,-0.30471277,-1.0908536,0.06776,0.102983944,0.11755305,-0.061344694,-0.4294539,0.24368253,0.087991424,0.040566243,-0.20370546,-0.108378574,0298
20,-6.3048143,3.8597748,-0.3024762,-0.96210843,-0.03726931,0.86887753,0.24888824,-0.6144196,0.0975736,1.04157,-0.06542597,-0.5155862,0.013745761,0.7453994,-0.26393792,-0.6397778,18f3
21,-0.026147451,7.062725,-4.982563,0.49260512,-2.5517292,0.4707791,-2.6166456,2.4143803,1.0656197,-0.2930043,-1.5801346,-0.01680595,-0.14790997,3.2011712,-0.09516089,-0.07834636,1186
22,1.5735565,1.1654187,2.9375696,1.9313145,0.29118007,0.88611794,0.86074203,0.0489968,0.13674006,-1.0707924,0.46202475,0.37717173,1.3028941,-0.029199785,-0.2608162,-0.037984967,1f6b
23,-0.9409702,-6.0858994,0.47217202,-1.2110547,0.8514461,0.9400083,-0.98997724,0.649368,0.15881552,-0.30716386,-0.561351,-0.22726342,0.26728076,0.4744082,-0.50917816,-0.39012638,2c51
24,-1.2343572,-1.4897096,0.9520439,0.21687117,-1.313774,-0.60986924,-1.2167276,0.017597714,-0.52919096,-0.09329796,-0.34649304,0.16590302,0.4170784,0.03918177,-0.19959979,-0.19125846,a397
25,-4.633564,-2.3426883,-0.32143736,-0.40285644,0.5953839,0.65053165,-0.40241587,0.6270782,-0.009070292,0.044335794,-0.1193971,-0.60680276,-0.024200015,0.08878284,-0.45624244,-0.38765126,2d37
26,-4.297555,-2.8378248,-2.427832,2.5229943,-0.7168628,1.0797011,0.30003148,-0.4506356,-0.7202911,-0.09394416,-0.10275475,-0.1169258,1.0196735,0.19756965,-0.21708441,0.017400945,1a0d
27,-2.5922263,-0.8218178,-1.8044297,-5.0442595,2.3290706,0.7850535,-0.4688549,0.6719951,0.673669,0.33730176,0.8208761,-1.2392646,-1.6325345,0.14080913,-0.13636835,0.28870198,1838
28,9.229546,2.377199,-0.10504888,4.5128555,4.831727,2.2576928,0.72436774,1.5658056,-1.3076003,0.98159313,-1.8830185,-1.1084888,-0.8529146,-0.12511425,1.297214,-0.058034934,180b
29,-3.036103,0.27389225,-0.79738057,-2.3975837,1.7310224,-0.08943991,0.39051157,-0.44658017,-0.026153434,-0.40389946,0.32468,0.23659974,-0.9311993,-0.09247794,0.27569225,-0.003521827,0b20
30,1.3437716,-0.03770216,2.1559424,3.0175278,-0.032072287,2.1000257,0.39456552,-0.41901267,1.1124333,-0.24366297,1.1202632,0.80022186,0.069700845,0.18717028,0.6799737,-0.28220287,1fa7
31,-1.9171628,-3.442921,-0.3690967,-1.6423684,1.9371829,0.12387426,-0.28085127,0.5012127,0.7784178,-0.914804,-0.6659354,0.07084348,-0.07071667,0.12918729,-0.08132594,-0.24479926,2cbd
32,-3.3328128,-1.3992996,0.75790334,-0.25757757,-0.8896371,0.83789885,-0.29227367,0.44439104,-0.17602968,0.06584094,-0.11901132,0.17358536,-0.8224849,0.06637259,0.51580316,0.09371236,2d23
